"Bitbucket";"CI/CD, Build- und Versionskontrollsysteme"
"BizAgi Process Modeler";"Modellierungswerkzeuge"
"BizTalk";".NET Frameworks und Tools"
"BlackBerry OS";"Betriebssystem"
"Blazor .Net";"Sonstige"
"Blender";"Grafik/Design"
"Bootstrap";"Webentwicklung"
"BPMN";"BPM (Business Process Modelling)"
"Browser Debugging";"Webentwicklung"
"Browser Technologien";"Webentwicklung"
"BSD";"Betriebssystem"
"Bugzilla";"Issue Management"
"Business Analyst";"Data Warehouse / Business Intelligence"
"Business Consulting";"Beratung"
"BusinessObjects";"Data Warehouse / Business Intelligence"
"C#";"Programmiersprachen / Scriptsprachen"
"C/C++";"Programmiersprachen / Scriptsprachen"
"Caddy";"Applikationsserver"
"CakePHP";"Sonstige"
"CalDAV";"Dienste"
"Canvas";"Webentwicklung"
"Castor";"Java Frameworks"
"CBuilder";"Umgebungen"
"Certified Agile Leader";"Zertifizierung"
"Chinesisch (Mandarin)";"Sprachen"
"CI/CD Entwicklung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"CISCO Switch Administration";"Technik/Tools"
"Citrix";"Technik/Tools"
"Clean Code";"Software Craftmanship"
"Clear Case";"CI/CD, Build- und Versionskontrollsysteme"
"Cloud Computing Generalist";"Cloud Computing"
"CMake";"C++ Frameworks und Tools"
"Cobol";"Programmiersprachen / Scriptsprachen"
"Cocoon";"Java Frameworks"
"Code Reviews";"Entwicklung"
"CodeIgniter";"Sonstige"
"Cognos";"Data Warehouse / Business Intelligence"
"ColdFusion MX";"Produkterfahrung"
"ComExpress";"Technik/Tools"
"Command and Query Responsibility Segregation";"Sonstige"
"Concourse";"CI/CD, Build- und Versionskontrollsysteme"
"Confluence";"Sonstige"
"Contao";"CMS"
"Content Delivery Network Anbindung - ( CDN )";"SAP Commerce"
"Content Marketing";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Content-Platform";"Produkterfahrung"
"Continuous Integration (CI)";"Methoden und Praktiken"
"Conversion Optimierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"CORBA";"Standards"
"CoreData";"Sonstige"
"Corel Draw";"Grafik/Design"
"CoreShop";"Webentwicklung"
"CouchDB";"Datenbank"
"Cruise Control.NET";"CI/CD, Build- und Versionskontrollsysteme"
"CruiseControl";"CI/CD, Build- und Versionskontrollsysteme"
"Crystal Reports";"Produkterfahrung"
"CSM – Scrum Master";"Zertifizierung"
"CSPO – Product Owner";"Zertifizierung"
"CSS";"Programmiersprachen / Scriptsprachen"
"CSS";"Webentwicklung"
"Cucumber";"Sonstige"
"CVS";"CI/CD, Build- und Versionskontrollsysteme"
"Cypress";"Webentwicklung"
"Dänisch";"Sprachen"
"Dart";"Sonstige"
"Datadog";"Dienste"
"Datahub Anbindung";"SAP Commerce"
"Datenaufbereitung & Datenanalyse";"Sonstige"
"Datenschutzauditor";"Rolle (intern)"
"Datenschutzbeauftragter";"Rolle (intern)"
"DB2 / UDB";"Datenbank"
"DBase/Clipper";"Programmiersprachen / Scriptsprachen"
"Debian";"Betriebssystem"
"Delphi";"Programmiersprachen / Scriptsprachen"
"Dependency Injection";"Methoden und Praktiken"
"Design Driven Development (DDD)";"Methoden und Praktiken"
"Design Pattern";"Software Craftmanship"
"Design Reviews";"Methoden und Praktiken"
"Design Sprints";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Design Systeme";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Design Systems";"Methoden und Praktiken"
"Design Thinking";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Deutsch";"Sprachen"
"DEV Ops Experience";"SAP Commerce"
"Developmentstack";\0
"DevExpress";".NET Frameworks und Tools"
"DHCP";"Dienste"
"Dienstleistungen";"Branchenerfahrung"
"Digital Asset Management ( DAM ) Anbindung";"SAP Commerce"
"Digital Research";"Sonstige"
"Digitale Barrierefreiheit";"Grafik/Design"
"DirectX";"Technik/Tools"
"Django";"Sonstige"
"DNS";"Dienste"
"Docker";"Technik/Tools"
"Dojo";"JavaScript Frameworks"
"Dojo Toolkit";"Webentwicklung"
"Dokku";"Technik/Tools"
"Dokumentation";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Domain Driven Design";"Methoden und Praktiken"
"Dreamweaver";"Produkterfahrung"
"Drupal";"PHP"
"Dynamics 365";"ERP"
"Dynamics NAV/Navision";"ERP"
"DynDNS";"Dienste"
"E-Commerce";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Eclipse";"Java Frameworks"
"Eclipse Smarthome (ESH)";"Sonstige"
"EFS Survey";"Sonstige"
"EJB 3";"Java Frameworks"
"Elasticsearch";"Datenbank"
"Electron";"Entwicklung"
"Eleventy";"Sonstige"
"Emarsys Anbindung";"SAP Commerce"
"Employer Branding";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Englisch";"Sprachen"
"Enterprise Architect";"Modellierungswerkzeuge"
"Entity Framework";".NET Frameworks und Tools"
"Entity Framework Core";".NET Frameworks und Tools"
"Entwurfsmuster";"Entwicklung"
"ePages";"Webentwicklung"
"EventModeling";"Sonstige"
"Exact";"ERP"
"Express.js";"JavaScript Frameworks"
"Express.js";"Webentwicklung"
"ExtBase";"TYPO3"
"Extensions";"TYPO3"
"ExtJs";"JavaScript Frameworks"
"F#";"Programmiersprachen / Scriptsprachen"
"f-prot";"Dienste"
"FibuNet";"ERP"
"Figma";"UX/UI Tools "
"FileZilla";"Dienste"
"Final Cut";"Sonstige"
"Finance";"Branchenerfahrung"
"Finnisch";"Sprachen"
"Firebase";"Sonstige"
"Firewall (IP Tables)";"Sonstige"
"Fireworks";"Produkterfahrung"
"First Spirit";"CMS"
"Fluid Templates";"TYPO3"
"Flutter";"Sonstige"
"FMCG";"Branchenerfahrung"
"Fortran";"Programmiersprachen / Scriptsprachen"
"Foundation - responsive Frontend-Framework";"Sonstige"
"Fractal";"Grafik/Design"
"Französisch";"Sprachen"
"FreeBSD";"Betriebssystem"
"Frontify";"Sonstige"
"ftp-proxy";"Dienste"
"gdscript";"Sonstige"
"GEF";"Java Frameworks"
"Gewaltfreie Kommunikation";"Projektmanagement / Vorgehensmodelle"
"Gherkin";"Sonstige"
"GIMP";"Grafik/Design"
"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"GitHub";"Webentwicklung"
"Github actions";"CI/CD, Build- und Versionskontrollsysteme"
"Gitlab";"CI/CD, Build- und Versionskontrollsysteme"
"Gitlab CI";"CI/CD, Build- und Versionskontrollsysteme"
"Glasfish";"Applikationsserver"
"Go";"Programmiersprachen / Scriptsprachen"
"Google Analytics";"Sonstige"
"Google Android";"Java Frameworks"
"Google Cloud Platform";"Java Frameworks"
"Google Tag Manager";"Sonstige"
"Google Test / Google Mock";"C++ Frameworks und Tools"
"Google Web Toolkit";"Java Frameworks"
"Governikus";"Technik/Tools"
"gpg";"Dienste"
"gradle";"CI/CD, Build- und Versionskontrollsysteme"
"Grafana";"Sonstige"
"Grafik Design";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"GraphQL";"Entwicklung"
"Griechisch";"Sprachen"
"Groovy";"Programmiersprachen / Scriptsprachen"
"Grunt";"JavaScript Frameworks"
"Gulp";"JavaScript Frameworks"
"haml";"Sonstige"
"Handel";"Branchenerfahrung"
"Handlebars";"Sonstige"
"Hardware";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"HarePoint";"Sonstige"
"Haskell";"Programmiersprachen / Scriptsprachen"
"helm";"Sonstige"
"Heroku";"Programmiersprachen / Scriptsprachen"
"Hibernate";"Java Frameworks"
"Homesite";"Produkterfahrung"
"HP/UX";"Betriebssystem"
"HPQC";"Issue Management"
"HTML";"Webentwicklung"
"HTML5";"Webentwicklung"
"Hybris";"SAP Commerce"
"IBM Infosphere DataStage";"Data Warehouse / Business Intelligence"
"IBM WebSphere";"Applikationsserver"
"Iconography ";"Grafik/Design"
"imp";"Dienste"
"Implementierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Infinispan";"Sonstige"
"InfluxDB";"Sonstige"
"Informatica";"Data Warehouse / Business Intelligence"
"Informix";"Datenbank"
"Infragistics";".NET Frameworks und Tools"
"InstallShield";"Produkterfahrung"
"IntelliJ(Idea)";"Umgebungen"
"Interbase/Firebird";"Datenbank"
"Internet Information Services (IIS)";"Applikationsserver"
"inubit BPM-Suite";"BPM (Business Process Modelling)"
"inuitcss - responsive Frontend-Framework";"Sonstige"
"Invision";"UX/UI Tools "
"IoC";\0
"Ionic";"Java Frameworks"
"Ionic";"Webentwicklung"
"iOS";"Betriebssystem"
"IoT";\0
"IRQuest";"Sonstige"
"ISTQB - Foundation Level";"Zertifizierung"
"IT Consulting";"Beratung"
"Italienisch";"Sprachen"
"ITCSS";"Webentwicklung"
"ITIL";"Projektmanagement / Vorgehensmodelle"
"Jakarta Commons";"Java Frameworks"
"Jakarta EE";"Java Frameworks"
"Jama";"Sonstige"
"Jasmine";"JavaScript Frameworks"
"Java";"Programmiersprachen / Scriptsprachen"
"Java EE";"Java Frameworks"
"Java FX";"Java Frameworks"
"Java ME";"Java Frameworks"
"Java Native Interface (JNI)";"Sonstige"
"JavaScript";"Programmiersprachen / Scriptsprachen"
"JBoss";"Applikationsserver"
"JBuilder";"Umgebungen"
"JDBC";"Java Frameworks"
"JDeveloper";"Umgebungen"
"JEE";"Java Frameworks"
"Jenkins";"CI/CD, Build- und Versionskontrollsysteme"
"Jest";"Webentwicklung"
"JIRA";"Issue Management"
"Jogl";"Java Frameworks"
"Joomla";"CMS"
"jQuery";"Webentwicklung"
"JRun";"Applikationsserver"
"JSF";"Java Frameworks"
"JSON";"Webentwicklung"
"JSP";"Java Frameworks"
"JUnit";"Java Frameworks"
"Juristische Ausbildung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"KANBAN";"Projektmanagement / Vorgehensmodelle"
"Karaf";"Sonstige"
"Kendo UI";".NET Frameworks und Tools"
"Keycloak";"Sonstige"
"Kingbill";"Sonstige"
"knockout";"JavaScript Frameworks"
"Konzeption";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Kotlin";"Java Frameworks"
"Kubernetes";"Technik/Tools"
"Kunst, Kultur & Events";"Branchenerfahrung"
"Laminas";"Webentwicklung"
"Laravel";"PHP"
"LaTeX";"Basics"
"Layouting (Flexbox, CSS Grid)";"Webentwicklung"
"LDAP";"Datenbank"
"Lead Generierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Less";"Sonstige"
"LINQ";".NET Frameworks und Tools"
"Linux Printserver";"Dienste"
"Liquibase";"Sonstige"
"lodash";"JavaScript Frameworks"
"Log4J";"Java Frameworks"
"Logistik";"Branchenerfahrung"
"lua";"Entwicklung"
"MAC OS 7/8/9";"Betriebssystem"
"MAC OS X";"Betriebssystem"
"Magento";"Webentwicklung"
"Management Consulting";"Beratung"
"Mantis";"Issue Management"
"MariaDB";"Datenbank"
"Markdown ";"Programmiersprachen / Scriptsprachen"
"Marken";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Markenstrategie";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"MATLAB";"Programmiersprachen / Scriptsprachen"
"Maven";"CI/CD, Build- und Versionskontrollsysteme"
"MaxDB";"Datenbank"
"Medien- und Kommunikationsforschung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Mediengestalter Digital & Print - Fachrichtung Gestaltung & Technik";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Medizintechnik";"Branchenerfahrung"
"Mercurial";"CI/CD, Build- und Versionskontrollsysteme"
"Mesonic";"ERP"
"metropolis";"ERP"
"MFC/Windows-API";"Technik/Tools"
"Microservices";"Entwicklung"
"Microsoft Access";"Datenbank"
"Microsoft Enterprise Library";".NET Frameworks und Tools"
"Microsoft Office";"Produkterfahrung"
"Microsoft SQL Server";"Datenbank"
"Microsoft Teams";"Produkterfahrung"
"Microsoft Visio";"Produkterfahrung"
"Miro";"Sonstige"
"mithril";"JavaScript Frameworks"
"Mobile UX";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Mocha";"Tests"
"Mockito";"Sonstige"
"Moderation";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Modularer Designaufbau";"Sonstige"
"MongoDB";"Datenbank"
"Mono";".NET Frameworks und Tools"
"MonoDevelop";"Umgebungen"
"MooTools";"JavaScript Frameworks"
"Mozilla FW";"Technik/Tools"
"MQSeries";"Applikationsserver"
"MS Exchange";"Dienste"
"MS Project";"Projektmanagement / Vorgehensmodelle"
"MSBuild";".NET Frameworks und Tools"
"Multiplattform/Multibrowser Testing";"Entwicklung"
"Mural";"Produkterfahrung"
"Mustache";"Sonstige"
"MVS";"Betriebssystem"
"MySQL";"Datenbank"
"NativeScript";"JavaScript Frameworks"
"NEOS";"Sonstige"
"NestJS";"Sonstige"
"NetBeans";"Umgebungen"
"Netlify CMS";"Sonstige"
"Netviewer";"Dienste"
"Newsletter Anbindung";"SAP Commerce"
"NFS";"Sonstige"
"nginx";"Applikationsserver"
"NGRX";"Webentwicklung"
"NHibernate";".NET Frameworks und Tools"
"Niederländisch";"Sprachen"
"Node.js";"JavaScript Frameworks"
"Node.js";"Webentwicklung"
"nopCommerce";".NET Frameworks und Tools"
"NoSQL";"Sonstige"
"Novell";"Betriebssystem"
"npm";"JavaScript Frameworks"
"NUnit";".NET Frameworks und Tools"
"Nuxt";"Sonstige"
"nx Workspace ";"Webentwicklung"
"OAuth";"Dienste"
"Objective-C";"Sonstige"
"Objektrelationale Abbildung (ORM)";"Methoden und Praktiken"
"Odata";"SAP Commerce"
"Office365";"Sonstige"
"Omni Commerce Connect (OCC) Rest APIs";"SAP Commerce"
"Online Marketing";"Beratung"
"Open Broadcaster Software (OBS)";"Grafik/Design"
"Open SSH";"Dienste"
"OpenAPI";"Sonstige"
"OpenBSD";"Betriebssystem"
"OpenExchange";"Dienste"
"OpenGL";"Technik/Tools"
"OpenHAB";"Sonstige"
"OpenOffice / LibreOffice";"Produkterfahrung"
"OpenShop";"Programmiersprachen / Scriptsprachen"
"Oracle";"Datenbank"
"Oracle Applications";"ERP"
"Oracle AS";"Applikationsserver"
"Oracle Forms";"Umgebungen"
"Oracle Warehouse";"Data Warehouse / Business Intelligence"
"Oracle XDK";"Java Frameworks"
"Orga";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"OS/2";"Betriebssystem"
"osCommerce";"Webentwicklung"
"OSGi";"Sonstige"
"OXID eShop";"Sonstige"
"PaintShop";"Grafik/Design"
"PalmOS";"Betriebssystem"
"Pascal";"Programmiersprachen / Scriptsprachen"
"Patternlab";"Sonstige"
"Payments";"SAP Commerce"
"PCI-DSS ";"Branchenerfahrung"
"PEAR";"Webentwicklung"
"Pentaho Data Integration";"Data Warehouse / Business Intelligence"
"Perforce";"CI/CD, Build- und Versionskontrollsysteme"
"Perl";"Programmiersprachen / Scriptsprachen"
"Personas";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Photo Paint";"Grafik/Design"
"Photopea";"Grafik/Design"
"PHP";"Webentwicklung"
"PHP/Horde";"Webentwicklung"
"PHPStan";"PHP"
"PhpStorm";"Umgebungen"
"PHPUnit";"PHP"
"Phyton /Jython";"Java Frameworks"
"Pimcore";"nxp Abteilungen"
"Pimcore";"Umgebungen"
"PL/SQL";"Programmiersprachen / Scriptsprachen"
"Platform.sh";"Applikationsserver"
"Plexus";"Java Frameworks"
"PlumTree";"Produkterfahrung"
"PMI";"Projektmanagement / Vorgehensmodelle"
"PocketPC";"Betriebssystem"
"Polarion";"Issue Management"
"Polnisch";"Sprachen"
"Portlet API";"Java Frameworks"
"Portugiesisch";"Sprachen"
"Poseidon";"Umgebungen"
"Postfix";"Dienste"
"PostgreSQL";"Datenbank"
"Postman";"Technik/Tools"
"Power BI";"Data Warehouse / Business Intelligence"
"PowerApps";"Sonstige"
"PowerAutomate";"Sonstige"
"PowerShell";"Technik/Tools"
"preact";"Sonstige"
"PRINCE2";"Projektmanagement / Vorgehensmodelle"
"Principle";"UX/UI Tools "
"Product Owner";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Produkt Design";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Produktkonfigurator";"SAP Commerce"
"Produktstrategie";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Professional Scrum Master (PSM)";"Agilität"
"Professional Scrum Product Owner (PSPO)";"Agilität"
"Projektmanagement";"Projektmanagement / Vorgehensmodelle"
"Promotion / Drools Engine";"SAP Commerce"
"prototype";"JavaScript Frameworks"
"Prototyping";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Proxy";\0
"ProxySQL";"Sonstige"
"Prozessmanagement";"Beratung"
"Public Key Infrastructures (PKI)";"Technik/Tools"
"Pulumi";"Cloud Computing"
"Puma";"Sonstige"
"PVCS";"CI/CD, Build- und Versionskontrollsysteme"
"PWA";"Webentwicklung"
"pycharm";"Sonstige"
"Python";"Programmiersprachen / Scriptsprachen"
"Qlik 12 Certified Business Analyst";"Data Warehouse / Business Intelligence"
"Qlik 12 Certified Data Architekt";"Data Warehouse / Business Intelligence"
"Qlik 12 Certified System Administrator";"Data Warehouse / Business Intelligence"
"QlikView / QlikSense";"Data Warehouse / Business Intelligence"
"Qt QML";"C++ Frameworks und Tools"
"Qualitätsmanagement";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Quark Express";"Produkterfahrung"
"Quarkus";"Sonstige"
"Rabbitmq";"Technik/Tools"
"ramda.js";"JavaScript Frameworks"
"ranorex";"Sonstige"
"Raspberry Pi";"Sonstige"
"Rational";"Produkterfahrung"
"Rational Rose";"Modellierungswerkzeuge"
"Rational System Architect";"Modellierungswerkzeuge"
"Rational Unified Process (RUP)";"Projektmanagement / Vorgehensmodelle"
"RDP";"Dienste"
"React";"Webentwicklung"
"React Native";"JavaScript Frameworks"
"React Testing Library";"Webentwicklung"
"Redaxo";"CMS"
"RedDot";"CMS"
"RedHat Linux";"Betriebssystem"
"Redis";"Sonstige"
"Redmine";"Issue Management"
"Redux";"Webentwicklung"
"Requirements Engineering";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Responsive Webdesign";"Grafik/Design"
"REST";"Standards"
"Reusability";"Sonstige"
"RFC";"SAP Commerce"
"RMI";"Standards"
"RPG";"Programmiersprachen / Scriptsprachen"
"Ruby";"Programmiersprachen / Scriptsprachen"
"Russisch";"Sprachen"
"Rust";"Sonstige"
"RxJS";"Webentwicklung"
"samba";"Dienste"
"SAP";"ERP"
"SAP Adaptive Server Enterprise 16.0";"Datenbank"
"SAP Business Information Warehouse";"Data Warehouse / Business Intelligence"
"SAP Cloud Platform Integration (SCPI)";"SAP Commerce"
"SAP Commerce 6.x";"SAP Commerce"
"SAP Commerce Cloud V2";"SAP Commerce"
"SAP Commerce Platform Basics";"SAP Commerce"
"SAP Consulting";"SAP Commerce"
"SAP DB";"Datenbank"
"SAP ERP Anbindung";"SAP Commerce"
"SAP Identity Management 8.0";"Produkterfahrung"
"SAP NWDI";"Umgebungen"
"SAP NWDS";"Umgebungen"
"SAP OCI / B2B PunchOut";"SAP Commerce"
"SAP S4/Hana - Cloud Anbindung";"SAP Commerce"
"SAP Variant Configuration and Pricing Anbindung";"SAP Commerce"
"Sass";"Sonstige"
"Sass/SCSS";"Programmiersprachen / Scriptsprachen"
"Sass/SCSS";"Webentwicklung"
"Schwedisch";"Sprachen"
"Screendesign";"Grafik/Design"
"script.aculo.us";"JavaScript Frameworks"
"SCRUM";"Projektmanagement / Vorgehensmodelle"
"SCSS";"Webentwicklung"
"Security";"SAP Commerce"
"Security by Design";"SAP Commerce"
"Selectica";"Applikationsserver"
"SendMail";"Dienste"
"SEO Tool Anbindung";"SAP Commerce"
"Service Oriented Architecture (SOA)";"Technik/Tools"
"Servlet/JSP";"Java Frameworks"
"SharePoint";"Technik/Tools"
"Sharepoint Entwicklung";".NET Frameworks und Tools"
"SharpDevelop";"Umgebungen"
"ShellScripting";"Technik/Tools"
"Shockwave";"Produkterfahrung"
"Shopware";"Sonstige"
"Siemens SPS";"Produkterfahrung"
"Silverlight";".NET Frameworks und Tools"
"Silverstripe";"Sonstige"
"Sitecore";"CMS"
"Six Sigma";"Projektmanagement / Vorgehensmodelle"
"SixCMS";"CMS"
"Sketch";"UX/UI Tools "
"Sketchnotes";"Sonstige"
"Sketchup";"UX/UI Tools "
"Smalltalk";"Programmiersprachen / Scriptsprachen"
"Smartedit";"SAP Commerce"
"SmartHome";"Branchenerfahrung"
"SOAP";"Standards"
"Sofon";"Umgebungen"
"Softwarearchitektur";"Entwicklung"
"Softwaredesign/-architektur";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Softwareeinführung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Softwaretests";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Solr";"SAP Commerce"
"SonarQube";"Sonstige"
"Sonatype Nexus";"Sonstige"
"Sonstiges (Freitextfeld)";"Branchenerfahrung"
"Spanisch";"Sprachen"
"Spartacus";"SAP Commerce"
"Sport";"Branchenerfahrung"
"Spring";"Java Frameworks"
"Spring Boot";"Java Frameworks"
"Spring Data JPA";"Sonstige"
"Spring-Batch";"Java Frameworks"
"Spring-Integration";"Java Frameworks"
"Spring-JPA";"Java Frameworks"
"Spring.NET";".NET Frameworks und Tools"
"SPSS";"Sonstige"
"SQL";"Datenbank"
"SQL-Scripte";"Datenbank"
"SQLBase";"Datenbank"
"SSL";"Standards"
"SSO Anbindung";"SAP Commerce"
"Static Site Generierung";"Sonstige"
"Statische Codeanalyse";"Methoden und Praktiken"
"Stencil";"Sonstige"
"Storefront";"SAP Commerce"
"Storybook";"Webentwicklung"
"Struts (bis Version 1.3)";"Java Frameworks"
"Struts 2";"Java Frameworks"
"Studentisches Praktikum";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Styled Components";"Webentwicklung"
"Stylelint";"Webentwicklung"
"StyleReport";"Java Frameworks"
"SublimeText";"Sonstige"
"Subversion";"CI/CD, Build- und Versionskontrollsysteme"
"Sun Java Studio";"Umgebungen"
"Sun Solaris";"Betriebssystem"
"SUSE Linux";"Betriebssystem"
"Svelte";"Sonstige"
"SVG";"Webentwicklung"
"Swift";"Sonstige"
"Swing";"Java Frameworks"
"Swing/AWT";"Java Frameworks"
"SWT";"Java Frameworks"
"Sybase";"Datenbank"
"Symbian";"Betriebssystem"
"Symfony";"PHP"
"Symfony.Cloud";"Dienste"
"Systemaufstellung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"T-SQL";"Programmiersprachen / Scriptsprachen"
"Tableau Datenvisualisierung - Tableau Datenanalyse Tool";"Sonstige"
"Tailwind CSS ";"Webentwicklung"
"TCP/IP";"Standards"
"Team Developer";"Umgebungen"
"Team Foundation Server (TF Server)";"CI/CD, Build- und Versionskontrollsysteme"
"TeamCity";"CI/CD, Build- und Versionskontrollsysteme"
"TeamSite";"CMS"
"Teamviewer";"Dienste"
"Technical Task";\0
"Terminalserver";"Server"
"Terraform";"Entwicklung"
"Test Driven Development (TDD)";"Methoden und Praktiken"
"Testautomatisierung";"Entwicklung"
"Testing Library";"Webentwicklung"
"TestNG";"Java Frameworks"
"Thermobox";\0
"Tipko";"Applikationsserver"
"TOAD";"Produkterfahrung"
"Tomcat";"Applikationsserver"
"TopLink";"Java Frameworks"
"Tourismus";"Branchenerfahrung"
"Touristik";"Branchenerfahrung"
"Trac";"Issue Management"
"Türkisch";"Sprachen"
"Twig";"Sonstige"
"TypeScript";"JavaScript Frameworks"
"TypeScript";"Programmiersprachen / Scriptsprachen"
"TypeScript";"Webentwicklung"
"TYPO3";"CMS"
"TYPO3 Generalist";"TYPO3"
"Typography";"Grafik/Design"
"TypoScript";"Programmiersprachen / Scriptsprachen"
"Ubuntu";"Betriebssystem"
"UI";"nxp Abteilungen"
"UI Design";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"UI-Automation";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"Ultra Edit";"Umgebungen"
"UltraDev";"Produkterfahrung"
"UML";"Technik/Tools"
"Unipark";"Sonstige"
"Unit Tests (Komponententests)";"Methoden und Praktiken"
"Unity";"Sonstige"
